Tech,Model,Outcome,N,Beta_Base,Beta_With_Mech,Attenuation_Pct,p_value_with_mech,R2
mo14_wfaiart,Add ef23_sep_1,ct5_ypll_per_100k_mid,2357,168.22800251828394,174.1533246138789,-3.5221972602040306,0.36815995899651055,0.334126352667626
mo21_robohos,Add ef23_sep_1,ct5_ypll_per_100k_mid,2357,179.8148088516943,172.93887115817984,3.823899565016094,0.43463680234281044,0.334126352667626
mo14_wfaiart,Add fa21_psi_90,ct5_ypll_per_100k_mid,2357,168.22800251828394,169.18040088246158,-0.5661354530284741,0.3814491345163926,0.3339055322312424
mo21_robohos,Add fa21_psi_90,ct5_ypll_per_100k_mid,2357,179.8148088516943,179.5662989800636,0.1382032287650186,0.4195461594207952,0.3339055322312424
mo14_wfaiart,Add fa27_mort_30_pn,ct5_ypll_per_100k_mid,2357,168.22800251828394,134.39963885167015,20.10864015515915,0.48033201496195077,0.3347859824117374
mo21_robohos,Add fa27_mort_30_pn,ct5_ypll_per_100k_mid,2357,179.8148088516943,162.9319536829221,9.389023783183864,0.46277593150070195,0.3347859824117374
mo14_wfaiart,Add ef6_op_18b,ct5_ypll_per_100k_mid,2357,168.22800251828394,161.50778302373226,3.994709200581095,0.39864292752274044,0.33406376789888803
mo21_robohos,Add ef6_op_18b,ct5_ypll_per_100k_mid,2357,179.8148088516943,151.8626198490594,15.54498719050943,0.4346214004653012,0.33406376789888803
mo14_wfaiart,Add ALL mechanism metrics,ct5_ypll_per_100k_mid,2357,168.22800251828394,134.94036075751143,19.787218098339267,0.48188247178395505,0.33514950902381935
mo21_robohos,Add ALL mechanism metrics,ct5_ypll_per_100k_mid,2357,179.8148088516943,132.2766697796396,26.437276982710962,0.4958848866180061,0.33514950902381935
