Model,Outcome,Predictor,N,Beta,p_value,CI_Lower,CI_Upper,R2,q_value_fdr
Add ef23_sep_1,ct5_ypll_per_100k_mid,mo14_wfaiart,2357,174.1533246138789,0.36815995899651055,-205.1383911841192,553.445040411877,0.334126352667626,0.43463680234281044
Add ef23_sep_1,ct5_ypll_per_100k_mid,mo21_robohos,2357,172.93887115817984,0.43463680234281044,-260.9045658084503,606.78230812481,0.334126352667626,0.43463680234281044
Add ef23_sep_1,ct5_ypll_per_100k_mid,ef23_sep_1,2357,-5.722575904940428,0.13931578622024537,-13.309473389270995,1.864321579390137,0.334126352667626,0.4179473586607361
Add fa21_psi_90,ct5_ypll_per_100k_mid,mo14_wfaiart,2357,169.18040088246158,0.3814491345163926,-209.6774357902234,548.0382375551466,0.3339055322312424,0.6293192391311928
Add fa21_psi_90,ct5_ypll_per_100k_mid,mo21_robohos,2357,179.5662989800636,0.4195461594207952,-256.4342137623546,615.5668117224818,0.3339055322312424,0.6293192391311928
Add fa21_psi_90,ct5_ypll_per_100k_mid,fa21_psi_90,2357,46.990749078270994,0.9005853229337057,-690.2708695957874,784.2523677523295,0.3339055322312424,0.9005853229337057
Add fa27_mort_30_pn,ct5_ypll_per_100k_mid,mo14_wfaiart,2357,134.39963885167015,0.48033201496195077,-238.83661651838383,507.63589422172413,0.3347859824117374,0.48033201496195077
Add fa27_mort_30_pn,ct5_ypll_per_100k_mid,mo21_robohos,2357,162.9319536829221,0.46277593150070195,-271.9691877193918,597.8330950852361,0.3347859824117374,0.48033201496195077
Add fa27_mort_30_pn,ct5_ypll_per_100k_mid,fa27_mort_30_pn,2357,-59.2479511020581,0.002288088764138788,-97.32081234090253,-21.175089863213664,0.3347859824117374,0.0068642662924163645
Add ef6_op_18b,ct5_ypll_per_100k_mid,mo14_wfaiart,2357,161.50778302373226,0.39864292752274044,-213.52973706894562,536.5453031164102,0.33406376789888803,0.5802655833165186
Add ef6_op_18b,ct5_ypll_per_100k_mid,mo21_robohos,2357,151.8626198490594,0.4346214004653012,-229.0950662417913,532.8203059399101,0.33406376789888803,0.5802655833165186
Add ef6_op_18b,ct5_ypll_per_100k_mid,ef6_op_18b,2357,1.723854162020634,0.5802655833165186,-4.385931484056188,7.833639808097457,0.33406376789888803,0.5802655833165186
Add ALL mechanism metrics,ct5_ypll_per_100k_mid,mo14_wfaiart,2357,134.94036075751143,0.48188247178395505,-241.12460804339594,511.0053295584188,0.33514950902381935,0.7438273299270092
Add ALL mechanism metrics,ct5_ypll_per_100k_mid,mo21_robohos,2357,132.2766697796396,0.4958848866180061,-248.43635350627224,512.9896930655515,0.33514950902381935,0.7438273299270092
Add ALL mechanism metrics,ct5_ypll_per_100k_mid,ef23_sep_1,2357,-5.449913140004375,0.1640044421788318,-13.124993984248352,2.2251677042396034,0.33514950902381935,0.49201332653649543
Add ALL mechanism metrics,ct5_ypll_per_100k_mid,fa21_psi_90,2357,56.72899601446275,0.8815661050819155,-689.5702323940284,803.0282244229538,0.33514950902381935,0.8815661050819155
Add ALL mechanism metrics,ct5_ypll_per_100k_mid,fa27_mort_30_pn,2357,-60.299627289093884,0.0018316977144298531,-98.22510570142352,-22.374148876764252,0.33514950902381935,0.010990186286579119
Add ALL mechanism metrics,ct5_ypll_per_100k_mid,ef6_op_18b,2357,1.449729517042467,0.6452799101038293,-4.722847283112803,7.622306317197737,0.33514950902381935,0.7743358921245952
