Family,Test,N,Beta,p,CI_lower,CI_upper,Q_FDR,Note
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> MO2_Robotics,1507,0.4552875675696776,3.2916186326374817e-09,0.3044602762444719,0.6061148588948833,9.874855897912445e-09,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> MO2_Robotics,1507,0.0021111976581050964,0.0002092073953027434,0.000995155733015091,0.003227239583195102,0.00031381109295411516,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> DV2_Health_Outcomes,1507,-0.3165341219612102,0.027913681349094697,-0.5987248062499273,-0.03434343767249315,0.04187052202364205,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> DV2_Health_Outcomes,1507,-56.41477536484214,0.023372268521887354,-105.18256874551665,-7.646981984167645,0.04187052202364205,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> DV21_YPLL,1503,-0.18127104858929993,0.22084060224338775,-0.4714661808731835,0.10892408369458362,0.22084060224338775,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> DV21_YPLL,1503,-0.6265856073596626,0.02988774194512748,-1.1921130610038098,-0.061058153715515484,0.04483161291769122,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> DV2_Health_Outcomes,1507,-0.09230251194264075,0.21266017679014348,-0.23746172908810856,0.052856705202827065,0.21266017679014348,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> MO1_GenAI,1507,5.8905589512956164e-05,0.09881485989212481,-1.1039266221247555e-05,0.00012885044524715988,0.11965555087487491,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> MO1_GenAI,1507,0.00023679699165177334,0.11965555087487491,-6.143415748752435e-05,0.000535028140791071,0.11965555087487491,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> MO1_GenAI,1507,0.057635635919042735,0.04819092126136063,0.0004585044947964245,0.11481276734328905,0.11965555087487491,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> MO2_Robotics,1507,0.0004512647558086748,0.08308206282587483,-5.9077771345483515e-05,0.0009616072829628331,0.08308206282587483,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> DV21_YPLL,1503,-111.85288130475377,0.02649239424251607,-210.65227380036765,-13.053488809139893,0.04483161291769122,fi_capex_intensity_ratio_log1p
Dissertation Direct Effects,mo1_genai_composite_score -> ct5_ypll_per_100k_mid,2896,457.6682789307797,0.5508982035928144,-454.72632560952576,1493.107993313231,,"AIPW (N_t=567, N_c=2329)"
Dissertation Direct Effects,mo21_robotics_in_hospital_pct -> ct5_ypll_per_100k_mid,2896,-380.42110367588066,0.19161676646706588,-920.9488855605783,202.0812873029798,,"AIPW (N_t=773, N_c=2123)"
Dissertation Direct Effects,mo2_robotics_composite_score -> ct5_ypll_per_100k_mid,2896,-201.70648987970435,0.3992015968063872,-696.4694589317995,281.5085420626608,,"AIPW (N_t=936, N_c=1960)"
Dissertation Direct Effects,mo15_ai_optimize_workflows_pct -> ct5_ypll_per_100k_mid,2896,588.1682646268118,0.6307385229540918,-502.09746627619046,1794.1879707946741,,"AIPW (N_t=450, N_c=2446)"
Dissertation Direct Effects,mo14_ai_automate_routine_tasks_pct -> ct5_ypll_per_100k_mid,2896,-376.00287951638074,0.13972055888223553,-944.1710357082271,154.43897784117382,,"AIPW (N_t=414, N_c=2482)"
