level,exposure,measure,n,exposed_n,unexposed_n,exposed_mean,unexposed_mean,difference,smd,exposed_median,unexposed_median
Hospital,MO11 staff-scheduling AI,"RN FTE per 1,000 adjusted patient days",2301,443,1858,3.838173761421137,3.986586881553604,-0.14841312013246677,-0.026755866744243902,3.7191717380850293,3.4197959430369496
Hospital,MO11 staff-scheduling AI,RN FTE per bed,2301,443,1858,2.4186485773219553,2.113488057536023,0.3051605197859324,0.261259159672668,2.245360824742268,2.0
Hospital,MO11 staff-scheduling AI,RN vacancy rate,1912,386,1526,0.10572893218078991,0.11245150180444395,-0.006722569623654043,-0.07587981565312112,0.08810743673342648,0.09615384615384616
Hospital,MO11 staff-scheduling AI,log CAPEX per adjusted patient day,2137,397,1740,4.682592049779751,4.482413892835272,0.20017815694447894,0.1698547306016185,4.736601180949466,4.535477651502568
Hospital,MO11 staff-scheduling AI,log CAPEX per square foot,2083,393,1690,3.2286811612423705,2.958689619707683,0.2699915415346874,0.24209402575159195,3.10641835290009,2.9369090775527207
Hospital,MO11 staff-scheduling AI,HCRIS operating margin,2272,440,1832,-0.024484193962707318,-0.06262967747625266,0.03814548351354534,0.18346414664200245,0.0027812686573306378,-0.03598445143678013
Hospital,MO11 staff-scheduling AI,HCRIS total margin,2270,440,1830,0.06007863473487068,0.0461252188417057,0.013953415893164976,0.10486618236642996,0.060617722606210366,0.04749314667409761
Hospital,MO11 staff-scheduling AI,log HCRIS days cash on hand,2084,395,1689,2.2273053059772137,2.794515274139947,-0.5672099681627332,-0.277382165085084,1.893847202336673,3.0630604062576707
Hospital,MO11 staff-scheduling AI,"CBSA HHI / 1,000",2295,442,1853,2.941835981967065,3.0292149373642303,-0.08737895539716511,-0.02989272904597611,2.2106515945544807,1.904754133148193
Hospital,MO11 staff-scheduling AI,"County HHI / 1,000",2294,442,1852,5.0475340983037515,6.020663556162017,-0.9731294578582652,-0.2959558738496811,4.09100549133415,5.280821169383818
Hospital,MO14 routine-task AI,"RN FTE per 1,000 adjusted patient days",2301,643,1658,4.009993886048384,3.937854845299788,0.07213904074859556,0.012298946446082737,3.827688690029067,3.3595463810125934
Hospital,MO14 routine-task AI,RN FTE per bed,2301,643,1658,2.4792243442475304,2.0531850888446286,0.4260392554029018,0.3765638564872727,2.311111111111111,1.9315722682340368
Hospital,MO14 routine-task AI,RN vacancy rate,1912,525,1387,0.11443221013116497,0.10983089347981599,0.004601316651348983,0.05077954569575891,0.0985277463193658,0.09384339509862523
Hospital,MO14 routine-task AI,log CAPEX per adjusted patient day,2137,619,1518,4.75748187818529,4.422600747496205,0.33488113068908554,0.2799159405247386,4.771558633772626,4.4829654135487615
Hospital,MO14 routine-task AI,log CAPEX per square foot,2083,605,1478,3.2516125094353816,2.9105761741988028,0.34103633523657884,0.310335143178066,3.1345727593654424,2.9142664321719263
Hospital,MO14 routine-task AI,HCRIS operating margin,2272,639,1633,-0.024518553031603836,-0.06726470244512628,0.04274614941352244,0.2109102606252999,-0.0007711090954521427,-0.04132851212747863
Hospital,MO14 routine-task AI,HCRIS total margin,2270,639,1631,0.05826288687940144,0.04513412939774801,0.01312875748165343,0.10071136058289883,0.05678721418637503,0.046983445719556774
Hospital,MO14 routine-task AI,log HCRIS days cash on hand,2084,580,1504,2.366712133924735,2.8105245054567978,-0.44381237153206277,-0.2166866735803955,2.3936572853009705,3.117092293683034
Hospital,MO14 routine-task AI,"CBSA HHI / 1,000",2295,642,1653,3.048744675882914,2.9982653968835637,0.05047927899935045,0.0169111051761695,2.3036265152994546,1.8247187135501883
Hospital,MO14 routine-task AI,"County HHI / 1,000",2294,642,1652,5.095283119632496,6.119919621463833,-1.0246365018313366,-0.31126978524605714,4.197640441212066,5.393822120624105
Hospital,MO21 in-hospital robotics,"RN FTE per 1,000 adjusted patient days",3045,1575,1470,4.330840767629147,4.237009183854161,0.09383158377498635,0.006660558361325366,3.981880486650559,2.645260442175948
Hospital,MO21 in-hospital robotics,RN FTE per bed,3045,1575,1470,2.3515640323380356,1.9218643122088508,0.4296997201291848,0.37059448567393344,2.1811023622047245,1.7079827934066771
Hospital,MO21 in-hospital robotics,RN vacancy rate,2191,1158,1033,0.11322005403036878,0.10742099716125154,0.005799056869117233,0.06150103703683116,0.09946715287200361,0.08695652173913043
Hospital,MO21 in-hospital robotics,log CAPEX per adjusted patient day,2456,1349,1107,4.765710420712492,4.096140991685111,0.6695694290273808,0.538492824976146,4.768800734366389,4.140663198647332
Hospital,MO21 in-hospital robotics,log CAPEX per square foot,2349,1294,1055,3.2180205700714675,2.6702511426174373,0.5477694274540301,0.4949543462282309,3.1162351660036647,2.6400318188769023
Hospital,MO21 in-hospital robotics,HCRIS operating margin,2990,1555,1435,-0.01663827344146206,-0.08643887393421704,0.06980060049275498,0.3342238001346058,-0.0027737594497887906,-0.04663880648735207
Hospital,MO21 in-hospital robotics,HCRIS total margin,2991,1556,1435,0.05990630737908251,0.03852047463982683,0.021385832739255678,0.16187740160632513,0.05821668160413042,0.038256571696163665
Hospital,MO21 in-hospital robotics,log HCRIS days cash on hand,2733,1406,1327,2.3568408755036514,2.954769890646079,-0.5979290151424275,-0.2978787120249524,2.469401767960445,3.3292216458643153
Hospital,MO21 in-hospital robotics,"CBSA HHI / 1,000",3036,1573,1463,3.138152920338132,2.948377049931382,0.18977587040675026,0.06192292801988463,2.3036265152994546,1.643085387711852
Hospital,MO21 in-hospital robotics,"County HHI / 1,000",3035,1573,1462,4.567274517364854,7.495122155662627,-2.9278476382977727,-0.9699683190798774,3.709345110555027,10.0
County,County any MO14 access,"RN FTE per 1,000 adjusted patient days",2449,417,2032,3.495542783676592,3.659637561180923,-0.1640947775043311,-0.030676269079224903,3.4881061299176577,2.9163539531795744
County,County any MO14 access,RN FTE per bed,2448,417,2031,2.112730767484642,1.8026934646526374,0.3100373028320047,0.3241723564299674,1.9887640449438202,1.6666666666666667
County,County any MO14 access,RN vacancy rate,1397,381,1016,0.09804246459060968,0.09671235103842162,0.001330113552188067,0.01625942089784496,0.08312993539124193,0.08119094704460558
County,County any MO14 access,log CAPEX per adjusted patient day,1508,409,1099,4.5145395471604886,3.9841059215372434,0.5304336256232451,0.45225187494300156,4.600657324545133,4.079862893871643
County,County any MO14 access,log CAPEX per square foot,1472,404,1068,3.1859618282111244,2.733869155904185,0.4520926723069394,0.4533457785601755,3.141553014127064,2.741318229211923
County,County any MO14 access,HCRIS operating margin,2384,417,1967,-0.05346739011855852,-0.09215525251655733,0.03868786239799881,0.16613514862267684,-0.018798891487489727,-0.05199531875278923
County,County any MO14 access,HCRIS total margin,2384,417,1967,0.04749899275187376,0.03811320825097126,0.009385784500902501,0.07170587865235688,0.05791231376637723,0.04164534775295096
County,County any MO14 access,log HCRIS days cash on hand,2298,408,1890,3.0465930517587836,3.2089096915889854,-0.16231663983020184,-0.09021279340317603,3.290786090780218,3.554639872878333
County,County any MO14 access,"County-weighted CBSA HHI / 1,000",2449,417,2032,3.6759506361637952,3.3783359982218437,0.29761463794195153,0.08611439122610472,2.973474621956691,1.895862285509983
County,County any MO14 access,"County HHI / 1,000",2437,417,2020,6.282973116501035,8.728323981938544,-2.4453508654375096,-0.9146701785199252,5.5636569785594405,10.0
County,County any MO21 access,"RN FTE per 1,000 adjusted patient days",2449,775,1674,3.7017229067722996,3.599276948843633,0.10244595792866651,0.01748070953845849,3.606677226757646,2.591446053219501
County,County any MO21 access,RN FTE per bed,2448,775,1673,2.07944084386315,1.7517707727176692,0.32767007114548075,0.3466262796341303,1.9621848739495797,1.5609756097560976
County,County any MO21 access,RN vacancy rate,1397,656,741,0.09408542246247087,0.09972184956636679,-0.005636427103895919,-0.06569418708334393,0.08284611651607238,0.07954545454545454
County,County any MO21 access,log CAPEX per adjusted patient day,1508,712,796,4.434765287152267,3.8535505001327337,0.5812147870195332,0.4747848126314191,4.527825457351495,3.9094836526426056
County,County any MO21 access,log CAPEX per square foot,1472,697,775,3.1578732972822867,2.5882105147060774,0.5696627825762093,0.5593269861734271,3.094731792053745,2.5679037705355494
County,County any MO21 access,HCRIS operating margin,2384,772,1612,-0.034907919350975224,-0.10956350473979795,0.07465558538882272,0.33364153709069905,-0.018091066635923473,-0.062131109205182056
County,County any MO21 access,HCRIS total margin,2384,772,1612,0.050879007063255995,0.03442752304860931,0.016451484014646682,0.12883950126387428,0.058725995446871744,0.0383501512508322
County,County any MO21 access,log HCRIS days cash on hand,2298,758,1540,3.0330729777492196,3.252454522783673,-0.2193815450344534,-0.12419662463385939,3.2560166231622336,3.677792847773267
County,County any MO21 access,"County-weighted CBSA HHI / 1,000",2449,775,1674,4.22729784900382,3.059435084043684,1.167862764960136,0.33277073804115276,3.5352214021126667,0.0766490697308353
County,County any MO21 access,"County HHI / 1,000",2437,775,1662,6.423451092001825,9.189554534774594,-2.766103442772769,-1.1470332343070606,5.881792770725468,10.0
